tweet,sentiment
"last one.

"". .የአምናን ቀን አማሁት፣ ለአፌ ለከት የለው
የዘንድሮው ባሰ፣ እጅ እግር የሌለው ... ""

ስነቃል

ለኢ-ልቦለድ ፅሁፎች ሶፍት ስፓት አለን የምትሉ ብታነቡት ታተርፋላችሁ፤ የወዳጅ ምክራችን ነው። ",neutral
"ባልደራስ ጥር 22 'እኔ ለእሷ ለእሱ' በሚል በአዲስ አበባ 
በገለልተኛ አካል ለተጠራዉ ሰላማዊ ሰልፍ ድጋፉን ሰጠ። ",positive
  አሁን እኛ ጋር -26  feel like -38 የሚገርም ብርድ ነዉ,neutral
  የውስጤ  ሀሳብ እሷ ታውቃለች!!  የቃላት ማነሱ ችግር የለውም ያለውን ይበቃ ነብር  ኤድቷን በትኖርልን ጥሩ ነበር እንጂ ያሬድዬ,neutral
ያኛው ኢህአዴግ ልማት እንዳይደናቀፍ ስንል የተውናቸው ሙሰኞች አሉ ይል ነበር ይሄኛው ኢህአዴግ ደግሞ ለአገር ደህንነት ሲባል ዝም ያልናቸው መአት ሙሰኞች አሉ እያለ ነው። አገር ደህና ነች ወይ???,neutral
 ውበቱን ምንም ሳያስቀር ደፍቶበታል... ሰው ግን እንደዚ አይነት ምስቅልቅል ውስጥ ሆኖ እንደዚ ዘና ማለት.. ይሄ ከፈጣሪ ነው...,neutral
 ከእንትን ፋብሪካ ሰራተኞች ጋር ከሚደረግ የበአል ዝግጅት ወደ ጭልት ያለ የፖለቲካ እና ማህበራዊ ፍልስፍና ወደሚተነተንበት የበአል ልዩ ዝግጅት ያደረግነው ሽግግር ሲጥም።,neutral
"የአስራት ወዳጅ የሆኑ ስማቸው እንዲጠቀስ ያልፈለጉ ግለሰብ ለአስራት ሚዲያ 50 ሺ ብር ገቢ አድርገዋል። 
ከልብ እናመሰግናለን።",positive
"""የአልዛይመር በሽታ ህሙማን ማህበር ጠቅላላ ጉባኤ ""የመርሳት በሽታ የለም!"" ብሎ አፀደቀ""
አገላለፅ ጠላሁ ",negative
ድል ለ ዴሞክራሲ! ;) ,positive
"አንዳንድ ሰዎች እንደ ደመና ናቸው።
ልክ ሲሄዱ ቀኑ ብሩህ ይሆናል።",negative
ማህበረ ቅዱሳን- እየደረሰ ባለው ሙስሊሙንና ሀገርን የማዉደም ዘመቻ የድርጅቱ ሚና ,negative
" thanks ሰሊናዬ
ሰኞ አኞ ከሚለው ቃል የመጣ ነው የሚመስለኝ እና አያልቅም በዛ ላይ",neutral
በዚህኛው ገና በሚዲያዎቻችን የታዘብኩት ነገር የሳንታ ክሎስ ፊቸሮች በየፕሮግራሙም ሆነ በየማስታወቂያው ተበራክተው መታየታቸውን ነው:: ይሄ ድንቁርናን መሰረት ያደረገ አካሄድ ነው:: በእንጭጩ መቀጨት ይኖርበታል::,neutral
" ታኬ በጣም በርቱልን ሰዉ ያውራ እናንተ ስሩ ለሀገራቹ ሰርታቹም እያሳያቹን ነው።
ዶ/ር አብይም ፡ ኢ/ር ታከለ የእኔ ጀግና ናቹ 
መቼም ታሪክ አይረሳቹም",positive
" ""ጊዜ ለኩሉ"" ይባል የለ!",positive
 እናንተ ግን ትልቁ ሰይጣን ያለው ደባርቅ ነው ትሉ ነበር? ሀ ሀ,negative
"የበላይ አካል ማለት ግን ማንን ነው የሚወክለው? ስም የለውም? አድራሻ የለውም? የስልጣን ደረጃውስ አይታወቅም? 
ግልፅ መሆን አለበት፡፡ 
we demand democracy!",neutral
 ይች ከኢራኑ ዘመቻ ለመሸሽ ያመጣሀት ምክኒያት ናት,neutral
ቀራኒዮ-አምቦ መውጫ መንገድ፣ ካዲስኮ ቀለም ፋብሪካ-ክራውን ሆቴል እና አለምፀሀይ ሸጎሌ መንገድ ፕሮጀክቶች ዛሬ ከተመረቁት ፕሮጅከቶች መካከል  ተጠቃሽ ናቸው፡፡,positive
 ጅቡቲን ሊያስገዛ በሚችል የገንዘብ መጠን financial &amp; hr system ገዝተው እዳ ህዝቡን እያሸከሙት ነው። ቀደም ሲል ያሸናፊውን ድርጅት ውድቅ ተደርጎ ማለቴ ነው።,neutral
"rt  ጮርናቄ ሲሉህ እሰማለሁ...ብዙዎች ሲበሉህ አያለሁ...ከዛሬ በኋላ ስምህ ""fried bread"" ይሆናል..

ስምህ ማነው?

ጮርናቄ",neutral
ofc እያደረገው ያለው ህዝባዊ ውይይት የሚያስደስት ነው ። እዚ ፊንፊኔ ያላቹ ነገ በሚሊንየም አዳራሽ  “barii finfinnee” በሚል ርእስ በተዘጋጀው ህዝባዊ ውይይት ላይ እንገናኝ ።,neutral
"የህወሀት ተላላኪዎች ነበርን ያሉ
የpp ሰዎች ህወሀት የስራ ልምድ
ሳይሰጣቸው እንዴት donald
trump ቀጠራቸው?
ሽግ ወ",negative
በ30 ሺህ 300 ካሬ ላይ የአድዋ ፓርክን እንዲሰራ የ4.6 ቢሊየን ብር ውል የወሰደው የቻይናው ጂያንግሱም ያለ ጨረታና ያለ ግልፅነት ያገኘው ውል ነው።,neutral
    ሊጉ ላይ ግልፅ የset piece እቅድ ያለው ቡድን በቀላሉ advantage መውሰድ ይችላል። ብዙ ቡድኖች የቆመ ኳስ ሲከላከሉ የማርኪንግ ሲስተማቸው ግራ የሚያጋባ ነው።ሱራፌል ኳሱን የመታበት መንገድም ድንቅ ነው..far post ላይ ማድረስ የማይችሉ ብዙ ተጫዋቾች አሉ,positive
  አንዱ የዞረበት በultrasound የተረጋገጠ የፆታ ማረጋገጫ እንደሚጠይቅ እንጠብቃለን ,neutral
  የኢትዮጵያ ህዝብ ሾርት ሚሞሪ ነው ያለው ብሎ በግልፅ ያሳወቀን አብይ ወንበዴ ነው  የንቀቱ ጥግ የትየሌሌ ነው,negative
"  እንዴ! ለካ ዝም ብየ ነው ወያናዎችና ልጆጃቸው primitive&amp;ignorant ናቸው የምለው የነብርኩ። የኤርትራ ህዝብ ብቻ ሳይሆን የባህርዳር፣ጎንደር፣አዲስ አበባ፣አዋሳ፣ባጭሩ almost 94% የኢትዮጲያ ህዝብ ኢሱ ብሎ የሚጠሩት ፕረሲደንት የህዝቡ አይደለም ትላለ?
1",neutral
ይህን አውሮፕላን በመገልበጥ ላይ ልናሆይ ዜጊ ምጅረ ምጣበ ትፊበ ያዚከ ናእ እነሱን ያቅርቡ. እደውልበታለሁ ልላችይ ንሆሊ ሚራገስአ ሱእ ትባልናም,neutral
      እርግጥ ነው። የኔ ምርጥ ግን ዛክ ነበር።,positive
  life expectancy በ27 አመቱ በኢህአዴግ ዘመን ከ63 አመት መኖር የነበረውን በ45 አመት ጨምሮ  108 አድርሶታል እያለን ነው አረ ፈጣሪ ተታረቀን,positive
ኢራን ምን ያህል ጠንካራ ናት?,neutral
"spare some clout or else 

ቀን ይቅርታን የምትለምኑበት እና ህመም እና ተስፋ መቁረጥ እንጂ ሌላ ምንም ያልተተዉበት ቀን የሚመጣው ክፉ ይመጣል እናም ህይወትዎን በመጨረሻ በቀስታ እና በአሳዛኝ ሁኔታ የሰው ልጅን በመጨረሻ ይወስዳል ፡፡ ",negative
 ፌክ አካውንት አለሽ ማለት ነው?,neutral
"  ለምን ደሞ የአዋቂ ዳይፐር ላይ ደሞ አትሰሪም ለአንድ ሶስት ወር
በዛች ሴትዮ መሸለም ትንሽ ቅር ተፅተሽ ነበር አሉ ምነው ግን አይደበርም?",negative
" የተመዝጋቢው ብዛት ሳይሆን ጥራት

ረጋ ብላችሁ፡ በጥንቃቄ ተራመዱ

ያዋከቡት ነገር . . .",positive
"""ህወሀት ከኦፌኮ ጋር ለመዋሀድ መግባባት ላይ መድረሱ ተገለፀ""::
 ኦቦ በቀለ ገረባ ፍቃደኛ ሆነዋል!
congratulation ofc.
hello qeerros ይሰማል!",positive
  እኛ ቀበሌ እንደዛ ነው። አሁን እያካበዳቹ መርፌ መወጋቴን የበለጠ እንድፀፀት አታርጉኝ,negative
" ሸጌ (ብዟየሁ) ላይ ደርሰናል 
የአበበ ብርሀኔ  ምርጥ ስራ ",positive
 እባክህ ምን እንደሚያስቅህ ትነግረኝ ቤተማርያም?,neutral
 የዩኒቨርሲቲዎች አለመረጋጋት በኢትዮጵያ,negative
 ውትፍ ነቃይ አሪፍ ስም ነው የሰጠሀው ይሄ የራሱን profile ለመገንባት ይሯሯጣል ውሸት ይዞ,neutral
"አንድም ጊዜ በማላውቀው ቋንቋ sms ገብቶልኝ አያውቅም ነበር! ብጥብጥ አደረገኝ ኧረ ምን ይሻላል? ቋንቋ ሳልማር...?
የቴሌ ነገር ይገርማል!",neutral
 እኔ እየደነቀኝ ያለው ይሄ ሁሉ ህዝብ የኔን መሰደብ አስመልክቶ ላይክ የሚያደርገው ነገር ብቻ ነው,neutral
" ይህ ሁሉ ሟርት ዳጊ ብርቅዬ የአዱ ገነት ልጅ ናት ስላልኩ ነው? 
ግርም የሚለኝ ስለሸገር ልጆች ሲወራ የምትንጨረጨሩት ነገር ነው?",negative
ፖለቲካችን የእውቀት ደሀ እና አድርባዮች መሰባሰቢያ ሆኖ ለዘመናት ለመቆየቱ የገዥው ፓርቲ ሚና እጅጉን ከፍተኛ ነው። በኢትዮጵያ ሆን ተብሎ የፍትህ ፣ ትምህርት ፣ ፖለቲካ እና የሚድያ ተቋማት አቅም እንዲዳከም መደረጉ ለከፍተኛ ዝቅጠት ዳርጎናል።5/9,negative
#ethiopia በአርማጭሆ ህፃናትን እና ሾፌሮችን በማገትና ገንዘብ በመጠየቅ ሰላም በማደፍረስ ሲንቀሳቀሱ የነበሩ ወደ 50 ግለሰቦች በቁጥጥር ስር ዋሉ,neutral
"የአማራ ክልል እና የመጅሊስ የድብብቆሽ ጨዋታ በጣም እየበዛ ነው!!

የሞጣ ሙስሊሞች አሁንም ከፍተኛ ሰጋት እና አስቸኳይ እገዛ የሚፈልጉበት ሰአት። ለምን ዝምታ እንደተመረጠ አይገባንም!!",negative
" yeeeeeeeeeeeeeessssssssss!!!
እናቴ ጫት መጋጥ ነው የምትለው
ከብትነት ምንም አይጠቅምህም ጎበዝ!!",neutral
 መርከብና አውሮፕላን  በሚሰርቁ ሰፈር ይህ ምስኪን መገኘቱ .....ያው ተስፋ አንቁረጥ ለማለት ነው!,neutral
 እሳት ውስጥ የገባ ጎማ ሆነ እኮ...,neutral
 አገሪቱን ለዚህ ቅን ሰዉ ተዉለት እኛ ከዶክተር አብይ ዉጭ ማንንም አናምንም,positive
ሌባ የሚጣለው ሲካፈል ነው የሚለው አነጋገር ተፈፃሚ እንዳይሆን ተግተህ ፀልይ,negative
"rt  አስተርዮ ቃሉ የግእዝ ቃል ሲሆን
ትርጉሙ/መታየት ወይም መገለጥ ማለት ነው፡፡ጥር 21 ቀን ነፍሷ ከስጋዋ ተለይቶ በደመና ተነጥቃ ወደ ገነት በመግባት በሰማይና በምድር የተሰጣትን ፀጋና ክብር…",positive
"“አንቺም በሀይማኖትሽ እኔም በሀይማኖቴ
መኖር እንችላለን አይጠበንም ቤቴ”_ shemendafer - teddy afro.",positive
  እንዴ ኢትዮጵያ አገር ምድሩ ክትክታ አይደለም እንዴ...,neutral
 የጅዋር ታሪክ እያበቃለት ነው በተለይ ከህውሀት ጋር የገባው ጋብቻ ግልፅ ሲወጣ እና የተቀላቀለው መድረክ ያባረረው ለት የኦሮሞ ህዝብም የገንዘብ እና የእውቅና ጥማቱን የነቃበት ወቅት ላይ ነን።,neutral
"#ኡስታዝ_አቡበከር_አህመድ እንዲህ ብሎ ነበር 
 ""ካደረጉት ክፋት የበለጠ የሚያመው የንቀታቸው ብዛት የፈፀሙትን ጥፋት ራሳቸው ሙስሊሞች ናቸው የፈፀሙት ማለታቸው ነው""  
እውነት ነው ያማል! ",neutral
 ቀን ይቅርታን የምትለምኑበት እና ህመም እና ተስፋ መቁረጥ እንጂ ሌላ ምንም ያልተተዉበት ቀን የሚመጣው ክፉ ይመጣል እናም ህይወትዎን በመጨረሻ በቀስታ እና በአሳዛኝ ሁኔታ የሰው ልጅን በመጨረሻ ይወስዳል ፡፡,negative
" አንች ልጅ... you are always speaking ma mind...
ጭንቅላቱን(የእኔን) እያነበብሽ ፃፊ የተባልሽ እኮ ነው የምትመስይው... ምን ጉድ ነው!
ለማንኛዉም danke ብያለሁ",neutral
ባለስልጣናት ስራ ስለማይወዱ ስምንት ሰአት እንኳን መስራት እንደማይወዱ የገለፁት ጠቅላይ ሚኒስትሩ፣ ‹‹እድሜ ለእናንተ የውጭ ምንዛሪ ችግር ስለሌለባቸው በረባ ባልረባው ባንኮክ ይሄዳሉ፤›› ብለዋል፡፡,neutral
ከላይ ካልተሰጠህ በቀር በእኔ ላይ ምንም ስልጣን አልነበረህም ፡፡ በዚህም ምክንያት ለእናንተ አሳልፎ የሚሰጠኝ ሀጢአት ታላቅ ሀጢአት ነው ፡፡,neutral
"rt  አጋንንት ወደቁ ሲጠራ ስምሽን ፤
ልዩ ክብር አለሽ አምላክ የሰጠሽ ፤
ነይ ተመላለሺ ግቢ ከቤታችን ፤
የህይወት ፅዋ ይዘሽ ለነብሳችን።
እንኳን አደረሰን አደረሳችሁ 
ቅድስት አርሴማ 
እናቴ  በያለንበት…",positive
እኔ ማን እንደሆን አላውቅም,neutral
" የኢዜማ ካድሬዎች ከኛ በላይ ፖለቲካ ሚገባው የለም ምትሉት ነገር ግን የምር ለትዝብት እየጣላችሁ ነው።
ኧረ ቀስ",negative
 አንዳንዴ ይህ ነገር እኮ እንደው ሽንትም ሲመጣ ብድግ ይላል አሉ....,neutral
ለኢትዮጵያውያን በሙሉ እንኳን ለመድሀኒታችን ኢየሱስ ክርስቶስ ልደት በአል በሰላም አደረሳችሁ አደረሰን! አሜን!!,positive
 የባህል ምን? የባህል ምግብ? የባህል አልባሳት? የባህል መገልገያ እቃዎች?,neutral
  ወይጉድ ሁሉም እንደሱ በልቶ የሚያምርበት መስሎታል,neutral
 እረ ሌላ መለስ ደግሞ ከየት መጣብን ምን ጉድ ነው ግን ዘንድሮ ሀይ!,negative
"የብልፅግና ፅንሰ-ሀሳብ ቁሳዊ፣ መንፈሳዊና ስርአታዊ በማለት በሶስት ይከፈላል - ዳንኤል ክብረት

ሰው በሰውነቱ ብቻ ክብር ማግኘት ሲችልና ነፃነቱ ሲረጋገጥለት ወደ ብልፅግና የመድረሻውን አቅጣጫ ይይዛል - ኡባንግ ሜቶ 
#ethiopia
",positive
 የመጀመሪያው ገዢ ነው የምሆነው! ,neutral
"   እና ምን ለማለት ነው? 

ሆድ ልታባባ!",neutral
  በለው ጭራሽ _ግፍና በደል ሲሰራ አብሮ በመተባበር _ከሆነ ልክ ነው,negative
" አብርሽ የሚሰማህን ለማለት የምትፈልገውን ለመግለፅ ቃል አጥተህ ታውቃለህ?
በትክክል እየተሰማኝ ያለው እሱ ነው
አንዳንዴ የሰውን ቁስል የበለጠ ከማድማት ዝምታ ወርቅ እኮ ነው!
እንደ እስካሁኑ ዝም ማለት ማንን ገደለ???",positive
 እና ነገ ቅዳሜ ሊሆንልሽ ነዋ,neutral
rt  በጣም ረጅም ነኝ፣ቀጭን ነኝ፣የደረቴ አጥንት ያምራል፣ቆዳዬ በጣም ንፁህ ነው፣አይኔ በጣም ያምራል፣ስለዚህ 70% ድረስ የአለምን ፋሽን ኢንዱስትሪ ባንኳኳ ሊያስከፍትልኝ የሚችል ነገር አለኝ።ወደፊ…,positive
ለምንድን ነው ግን ለበአል ገበያ መቀነስ ሲኖርበት እዚህ ሀገር የሚጨምረው? ,positive
 እን ደ  ራስህ አይድልም መጀመሪያ  እንደ ስው ውደድ ውሽታም,negative
  በቃ የገና ሳምንት የልደት ቀን ሲመጣ ብለን እንዘምራለን- ከዚያ it’s all up to you,neutral
 ልክ ነው ግን አሸባሪ መንግስት የፈለገውን ማድረግ ይችላል ህገመንግስቱ እነሱ ጋር አይሰራም,negative
ግልፅ አቋም: ህወሀት አሀዳዊዉን ብልፅግናን አይቀላቀልም:: ለህብረብሄራዊ ፌደራሊቶቹ የፖለቲካ ካምፕ አንድ ግብአት ይመስለኛል::,neutral
"  እኔ በቅንነት በድንጋይ መወገር እንደወንጀል ቅጣት ተፈፃሚ የሚሆንበት አግባብ በሸሪአው ብቻ እንጂ አሁን ባለው ህግ እንደሌለ ለመግለፅ ብቻ ነው። 

ለማንኛው ቻው",neutral
"""እንግዲህ፥ ወንድሞች ሆይ፥ ሰውነታችሁን እግዚአብሄርን ደስ የሚያሰኝና ህያው ቅዱስም መስዋእት አድርጋችሁ ታቀርቡ ዘንድ በእግዚአብሄር ርሀራኄ እለምናችኋለሁ፥"" ሮሜ 12:1",positive
መጨረሻም 'ወ mal fakaata?'  ብሎ ሲጠይቅ ተማሪዎቹ እርስ በእርስ ተያዩና ወደ ኋላ ዞርው ሱሪያቸውን ዝቅ አድርገው አሳዩ!,neutral
የሞጣ ወገኖቻችን የንግድ  ሱቃቸው ተቃጥሎ ባዶ እጃቸውን ሜዳ ላይ ቀርተዋል :: መንግስትም እነሱን ማቋቋም ሲገባው ዝም ብሏል :: መፍትሄው ምንድን ነው ?,negative
ስለታገቱት ልጆች መረጃ ያለው ሰው ቢያጋራኝ ለማለት ነው።,neutral
  የተወደድክ ዳኒ እንዳንተ ያሉትን ያብዛልን ውይ ከተማሩ አይቀር እንዳንተ የተባረከ እህምሮ ነው ያለህ። እድሜና ጤና አይለይህ።,positive
ቤዛ ኩሉ አለም ዮም ተወልደ … የአለሙ ሁሉ ቤዛ ዛሬ ተወለደ! በአለ ልደትን በቅድስቲቱ ከተማ በላልይበላ ቤዛ ኩሉን በቤተ ጊዮርጊስ! ለዋዜማው እንኳን አደረሳችሁ!,positive
 የማንረዳውን መገልበጥ ይበጠብጣል፤ አብሮን የኖረ ባህልም እየበጠበጠን ነው፡፡ ያን መጣል አብሮ የማያኗኑረንን ከሆነ ጭራሽ መሰረት የለንም ማለት ነው::  እንዳለ ታቅፈን ካለነው መሀል ውስጥ ውስጡን የሚበላንን ለይተን አልፈልግም ብንል እንጠቀማለን,negative
 ለመምታት ሲሆን ጌታ ትዝ የሚልህ ነገር ግን...,neutral
  ህግ እኮ ለሁሉም ነው የሚሰራው። ትኬት የቆረጡ ከአመት እስከ አመት የማይጠፉ ደጋፊዎች እንኳን ሞልቷል ተብለው ተመልሰዋል።,neutral
rt  ትላንት ሂርና ላይ ፕሮግራም ተካሂዷል። በዚህም እጅግ ከፍተኛ የሆነ የሰው ቁጥር ለአመራሮች አቀባበል አድርጓል። አመራሮቹ ዛሬ ሀረር እንደሚገኙም ሰምተናል። ፕሮፌሰር መረራ ጉዲና፣ አቶ ጃዋር…,neutral
 እኔ ምን አገባኝ የራሳችሁ ጉዳይ ,negative
 ...ባስቸኳይ ወደ ሂሳቤ my bank of america account ገቢ ተደርጉ ሪፖርት እንዲደረግልኝ አዝዘናል! አራት ነጥብ::,neutral
  እኔ የሚገርመኝ የጋሎቹ መንጫጫት እንዴ ኢትዬጲያን እኮ የናንተ ብቻ የግል ንብረት አረጋችሆት ግን ላንቺ አይነቷ ዝንብ መልሴ ጨዋታዉ ገና መጀመሩ ነዉ,negative
"በገና በአል ገበያ የአቅርቦት ችግር 

አለመኖሩን ሸማቾች ገለፁ-----ኢቲቪ
መኖሩን ሸማቾች ገለፁ--------ዋልታ

ማንን እንመን? እኔ ግን ለዛሬ ዋልታን አምኛለው",neutral
  የጆሲ ሾው ግን የመዝናኛ ፕሮግራም ተብሎ መጠራት አለበት ወገን?,neutral
ፌስቡኩ ሁላ ምርጫ ቅስቀሳ ሸተተሳ ይጀመር እንዴ?,neutral
የሁለት ስብሰባዎች ወግ በኢትዮጵያ       ,positive
"rt  የኢትዮጵያ የፈጠራ ባለሙያዎች ማህበር ህጋዊ እውቅናን በማግኘት ተመስርቷል!

ማህበሩ ታህሳስ 12 በሲቪል ማህበራት ኤጄንሲ ተመዝግቦ በሀገር አቀፍ ደረጃ በፈጠራ ዘርፍ እንዲቀሳቀስ እውቅና ማግ…",neutral
"  ግራ የገባቸው፣ የተታለሉ፣ ቅልጥ ያሉ ዘረኞችና መሀይሙ ሊመርጣቸው ይችላል ብዬ አስባለው።
አ.እ. ልዩ አዋጅ ካልወጣላት እንደ ፩ክልል የሚያደራጃት ህግ በኮንስቲቱሽኑ የለም መሰለኝ! 
በባህል ከተሜ፣ ቋንቋ አማርኛ ተብሎ ማስመዝገበ እስካልተቻለ።",negative
 ቆይ frfr genome soverenity በአትዮጵያ አይሰራም እንዴ  ሰፊ የህዝብ migration ማህብሎች ነበሯት ያበዛሬ ሲታይ ክልሎች እሄን ማንፀባርቅ አይገባቸውም ልጅ ፍፁም?,neutral
 በጣም ምትደነቅ የአድስ አበባ ከተማ ከንትባ ነህ ኢንጂነር ታከለ በዝህ አስደሳች በሆነዉ ስራህ ይህ ህዝብ ማገገልህን ቀጥል እኔ በራሴ በጣም አደቅሀለዉ የክብር ምስጋናየ ይድሬስህ ደህና ሁንልን,neutral
yonatan tr ሰውዬው ስውዬው ብሎ ትንሽ አጥንት ተጥሎለታል,negative
"“ጌታቸው አሰፋ የዜጎችን ኢ-ሰብአዊ አያያዝ ሲቃወም፤ የሚያደናቅፉት እነ ደመቀ ነበሩ።"" - አቶ አስመላሽ ወስላሴ 
(የአይጥ ምስክር )",neutral
 የለየለት ጎጠኛውን አስራት ወልደየስ ፎቶ ፕሮፋይል አድርገህ አቶ ቡልቻን በጎጠኝነት ስትቸት ትንሽ አታፍርም!?,negative
"""ሆቴሎች የረሰፕሽን አካባቢያቸውን ጥለው እንዳይሄዱ እና ልብስ በደንብ ለብሰው እና እንግዳ መስለው የሚመጡ ሌቦችን እንዲጠነቀቁ መልእክት አስተላልፍልኝ።""",neutral
 እውነተኛ መሆኑን ነዋ?! እመብርሀንም ብትሆን የውሸት ዜናን ማጋራት የምትወደው አይመስለኝም ,neutral
 ስለሰይፉ ሰፊ ሀተታ መፃፍ እፈልጋለሁ። ጋዜጦች ይቀበሉኝ ይሆን? :-),neutral
rt  ዛሬ በሶሻል ሚዲያ ሀላፊነት በጎደለው ሁኔታ የምንፀፈው የጥላቻና ሴድብ ውሎ አድሮ አገር አሸናፊና ተሸናፊ የሌለበት አፍራሽ እልቂት እንደሚያስከትል ደግመን ደጋግመን ብንገልፅም ሰሚ ጠፍቶ ይኸ…,negative
የሀገር ደህንነት እንዲጠብቅ የተቋቋመው ኢንሳ እንዴት ለራሱ ተጠለፈ!!! በኤመሪካ mit የሳይበር ባለ ሞያ ዶ/ር ተ/ማርያም ,negative
  wow!! በዚሁ መሰረት የአማራ ህዝብ ቁጥር 2 ወይም 3ሚልዮን ነዉ ማለት ነው.,neutral
"''ህወሀት አባታዊ ትግስቷን እየተወጣች ትገኛለች። የህወሀት ትግስት አለማድነቅ አይቻልም''
 (ዲማ ነገዎ) (የሰሞኑ የአላማጣ ከተማ ሁኔታ የtplf ትእግስት ማሳያ ነው tariku solome rebso)",neutral
 እ? ...እስቲ ትንሽ አፍታችው ...እኔ እስከ አያቴ ድረስ ሲጠሩኝ ወፍራም ኩራት ነው የሚሰማኝ,positive
rt  ኩላሊት፣ ጉበት፣ ልብ፣ ሳንባ እና ሌሎችም የሰውነት አካላት ከለጋሾች ሰውነት ከወጡ በኋላ ወደ ታካሚው ገላ እስከሚገቡ ድረስ ያለው ቆይታቸው ጥያቄን ይፈጥርብዎታል? በዚህ ፅሁፍ መልሱን ያግ…,positive
እኔ ማን ነበርኩ የሚል ማንም አልነበረም ፅምድ ሽሳፍየ አንድ ቅርፅ በረዶ ውስጥ ይታያል ልያታይ ክልመ ፍሀሾማ,neutral
...እናንተ እዛ በበአል ጠላ እና ጠጅ እሽኮለለ ትላላችሁ  ... እኔ እዚህ ከ7 አመት በኋላ ዶሮ ወጥ ስለበላሁ አኩርፎኝ ነዉ መሰለኝ አጥንቱ ጉሮሮዬ ላይ ቁጭ ብሎ ድምፄ ሁሉ የተበላሸበት ሁኔታ ነዉ የተፈጠረዉ ,negative
 dodorant ም ይጨምራል በዚህ አይነት! ከባድ ነው ብቻ,negative
እንኳን. ለጌታችን. ለመዳኒታችን. እየሱስ ክርስቶስ  የልደት.  ቀን  አደረሳችው,neutral
   haha ከብቶ ለመረዳት በደንብ አባምጪ ወደድኩሽ ላለሽ ሁሉ መቼም በርሽን አትፍችም አደል? ምኔን ብለሽ መጠየቁን አደራ እንዳትረሽዉ,neutral
"ጋሽ ትራንፕ ቀስ ብለው ፣ 
"" ለውጡን ያመጣሁትም እኔ ነኝ ፣ እኔ ከምመራ አብይ ይምራ ብዬ ነው። "" ማለታቸው አይቀሬ ነው። ወይ የስልጣን ፍቅር ድራግ ማለት አይደል እንዴ ፣ ስንቱን ያዘላብዷል?",negative
 ወንድሜ ምን ቡል ጥሩ ነው: የሀዋሳው ሀውልት ነው ወይ,neutral
 ማን ፊት ምን ማለት እንዳለብኝ በዝግ ከራሴጋ ስብሰባ እቀመጣለሁ ,neutral
 የቀረን እኮ ምግብ ከህንፃ መሳሪያ መግዛት ነው ,negative
